site;plot;treatment;recorded_by;date;transect;subplot;position_m;area_m2;canopy_openness;pH;species;height_cm;diameter_cm;notes;shoot;in_exclosure;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Sorbus aucuparia;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Corylus avellana;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Frangula alnus;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Frangula alnus;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Frangula alnus;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Frangula alnus;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Frangula alnus;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Frangula alnus;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Frangula alnus;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Frangula alnus;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Frangula alnus;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Frangula alnus;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Frangula alnus;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Frangula alnus;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;1;08-mar;5;;;Frangula alnus;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Viburnum opulus;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Viburnum opulus;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Viburnum opulus;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Tilia cordata;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;2;26-31;5;;;Betula pendula;>130;47;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Corylus avellana;<20;;"""ekar den 7/9: 3 st"" - borde jag lägga till de här? (7/9 kollades andra transekten av FG och MK)";FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Corylus avellana;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Corylus avellana;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Corylus avellana;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Corylus avellana;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Corylus avellana;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Corylus avellana;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Corylus avellana;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Corylus avellana;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Corylus avellana;>130;0.1-5;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Corylus avellana;>130;0.1-5;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Corylus avellana;>130;0.1-5;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Quercus sp.;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Acer platanoides;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;3;55-60;5;;;Crataegus sp.;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Quercus sp.;<20;;"""ekar den 7/9: ca 10 st""";FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;>130;0.1-5;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Sorbus aucuparia;>130;18;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Picea abies;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Acer platanoides;<20;;;FALSE;FALSE;
Rya åsar;SV;control;CK;2001-06-14;SV55;4;66-71;5;;;Quercus sp.;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;1;11-jun;5;;;Corylus avellana;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;1;11-jun;5;;;Corylus avellana;>130;0.1-5;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;1;11-jun;5;;;Quercus sp.;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;1;11-jun;5;;;Quercus sp.;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;1;11-jun;5;;;Quercus sp.;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;1;11-jun;5;;;Quercus sp.;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;1;11-jun;5;;;Quercus sp.;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;1;11-jun;5;;;Quercus sp.;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;1;11-jun;5;;;Quercus sp.;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;1;11-jun;5;;;Quercus sp.;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;1;11-jun;5;;;Quercus sp.;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;1;11-jun;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;1;11-jun;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;1;11-jun;5;;;Sorbus aucuparia;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;1;11-jun;5;;;Viburnum opulus;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;1;11-jun;5;;;Viburnum opulus;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;1;11-jun;5;;;Viburnum opulus;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;1;11-jun;5;;;Viburnum opulus;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;<20;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Sorbus aucuparia;>130;>5;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Picea abies;20-130;;;FALSE;FALSE;
Rya åsar;SV;control;Malin K;2001-09-07;SV35;2;24-29;5;;;Picea abies;>130;0.1-5;;FALSE;FALSE;
